page_titles,product_titles,product_ratings,product_prices,avg_product_price,url,scraped_date
 The 5 Best Outdoor Storage Sheds of 2021,"YardStash The YardStash IV: Heavy Duty, Space Saving Outdoor Storage Shed Tent",,"[{'retailer': 'Amazon', 'price': '$185'}, {'retailer': 'Walmart', 'price': '$185'}]",185.0,https://www.thespruce.com/best-outdoor-storage-sheds-4153607,2021-12-27
 The 5 Best Outdoor Storage Sheds of 2021,Little Cottage Company Colonial Williamsburg Wood Storage Shed,,"[{'retailer': 'Wayfair', 'price': '$12,700'}]",12700.0,https://www.thespruce.com/best-outdoor-storage-sheds-4153607,2021-12-27
 The 5 Best Outdoor Storage Sheds of 2021,Rubbermaid 7 foot x 7 foot Storage Shed,,"[{'retailer': 'Home Depot', 'price': '$849'}]",849.0,https://www.thespruce.com/best-outdoor-storage-sheds-4153607,2021-12-27
 The 5 Best Outdoor Storage Sheds of 2021,Outsunny Metal Storage Shed,,"[{'retailer': 'Amazon', 'price': '$560'}, {'retailer': 'Wayfair', 'price': '$420'}]",490.0,https://www.thespruce.com/best-outdoor-storage-sheds-4153607,2021-12-27
 The 5 Best Outdoor Storage Sheds of 2021,Outdoor Living Today Cabana 9 ft. x 6 ft. Wooden Storage Shed,,"[{'retailer': 'Wayfair', 'price': '$4,499'}, {'retailer': 'Outdoorlivingtoday.com', 'price': nan}]",4499.0,https://www.thespruce.com/best-outdoor-storage-sheds-4153607,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Ember Temperature Control Smart Mug 2,,"[{'retailer': 'Amazon', 'price': '$140'}, {'retailer': 'Bed Bath &amp; Beyond', 'price': nan}, {'retailer': 'Best Buy', 'price': nan}]",140.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,de Buyer French Copper Cookware Collection,,"[{'retailer': 'Food52', 'price': '$220'}]",220.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Etsy Keepsake Wooden Box,,"[{'retailer': 'Etsy', 'price': '$130'}]",130.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Uncommon Goods Lucky in Love Personalized Penny Art,,"[{'retailer': 'Uncommon Goods', 'price': '$115'}]",115.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Etsy Copper Collection Candles,,"[{'retailer': 'Etsy', 'price': '$12'}]",12.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Anthropologie Acrylic Bloc Collection Desk Storage,,"[{'retailer': 'Anthropologie', 'price': '$106'}]",106.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Happily Date Night Subscription,,"[{'retailer': 'Thehappily.co', 'price': nan}]",,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,"L.L. Bean Adults' Glerups Wool Slippers, Open Heel",4.1,"[{'retailer': 'L.L.Bean', 'price': '$95'}]",95.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Hoda Coasters for Drinks Absorbent Felt Coasters,,"[{'retailer': 'Amazon', 'price': '$9'}]",9.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,David Yurman Color Classics Bangle Bracelet,,"[{'retailer': 'Nordstrom', 'price': '$375'}]",375.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Etsy Wool Felted Figurine Portrait,,"[{'retailer': 'Etsy', 'price': '$189'}]",189.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Aran Merino Throw,,"[{'retailer': 'Aran.com', 'price': nan}]",,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,The Cocktail Box The Moscow Mule Cocktail Kit and Copper Mug,,"[{'retailer': 'Thecocktailboxco.com', 'price': nan}]",,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Airbnb Experience Gift Card,,"[{'retailer': 'Airbnb.com', 'price': nan}]",,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Etsy Wool Felt Nesting Bowls,,"[{'retailer': 'Etsy', 'price': '$53'}]",53.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Urban Stems The Purple Iris,,"[{'retailer': 'Urbanstems.com', 'price': nan}]",,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
20 Super Sweet 7th Anniversary Gifts for Him and Her,Etsy Copper Initial Gift Set,,"[{'retailer': 'Etsy', 'price': '$21'}]",21.0,https://www.thespruce.com/best-7-year-anniversary-gift-4157904,2021-12-27
