page_titles,url,scraped_date,avg_product_price
The 5 Best Tiny House Kits of 2021,https://www.thespruce.com/best-tiny-house-kits-4691381,2021-12-27,8650.0
The 6 Best Hot Tubs of 2021,https://www.thespruce.com/best-hot-tubs-4164002,2021-12-27,5263.8
The 12 Best Sectional Sofas of 2021,https://www.thespruce.com/best-sectional-sofas-4150346,2021-12-27,3747.0
 The 5 Best Outdoor Storage Sheds of 2021,https://www.thespruce.com/best-outdoor-storage-sheds-4153607,2021-12-27,3744.6
The 8 Best Double Ovens of 2021,https://www.thespruce.com/best-double-ovens-4150204,2021-12-27,3602.6458333333335
The 5 Best Riding Lawn Mowers of 2021,https://www.thespruce.com/best-riding-lawn-mowers-4142782,2021-12-27,3465.6666666666665
The 7 Best Home Saunas of 2021,https://www.thespruce.com/best-home-saunas-5089784,2021-12-27,3051.6666666666665
The 7 Best Induction Ranges,https://www.thespruce.com/best-induction-ranges-4150612,2021-12-27,2971.0
The 7 Best Home Generators of 2021,https://www.thespruce.com/best-home-generators-4173501,2021-12-27,2926.6
The 10 Best Wall Ovens,https://www.thespruce.com/best-wall-ovens-4146842,2021-12-27,2775.833333333333
The 7 Best Reclining Sofas,https://www.thespruce.com/best-reclining-sofas-4171553,2021-12-27,2741.0
The 6 Best French Door Refrigerators of 2021,https://www.thespruce.com/best-french-door-refrigerators-4171572,2021-12-27,2542.611111111111
The 9 Best Pool Heaters of 2021,https://www.thespruce.com/best-pool-heaters-4689435,2021-12-27,2337.9375
The 10 Best Sleeper Sofas of 2021,https://www.thespruce.com/best-sleeper-sofas-4150342,2021-12-27,2317.0
The 6 Best Greenhouses of 2021,https://www.thespruce.com/best-greenhouses-4157678,2021-12-27,2219.3333333333335
The 8 Best Induction Cooktops of 2021,https://www.thespruce.com/best-induction-cooktops-4135123,2021-12-27,2163.9761904761904
The 10 Best Leather Sofas of 2021,https://www.thespruce.com/best-leather-sofas-4164593,2021-12-27,2136.0
The Best Refrigerator Deals for January 2022,https://www.thespruce.com/best-refrigerator-deals-5115168,2021-12-27,2022.0777777777778
The 9 Best Pool Tables of 2021,https://www.thespruce.com/best-pool-tables-4172169,2021-12-27,2010.1666666666667
The 8 Best Refrigerators of 2022,https://www.thespruce.com/best-refrigerators-4113149,2021-12-27,1967.9583333333333
The 7 Best Bottom Freezer Refrigerators,https://www.thespruce.com/best-bottom-freezer-refrigerators-4173913,2021-12-27,1930.277777777778
The 8 Best Hybrid Mattresses of 2021,https://www.thespruce.com/best-hybrid-mattresses-5104828,2021-12-27,1908.3333333333333
The 6 Best Kitchen Islands,https://www.thespruce.com/best-kitchen-islands-4159228,2021-12-27,1877.2
The 8 Best Couches of 2021,https://www.thespruce.com/best-couches-4150654,2021-12-27,1848.5
The 5 Best Tempur-Pedic Mattresses,https://www.thespruce.com/best-tempur-pedic-mattresses-4150356,2021-12-27,1848.4
The 9 Best Kitchen Ranges of 2021,https://www.thespruce.com/best-kitchen-ranges-4150092,2021-12-27,1848.0416666666665
The 7 Best Shower Kits of 2022,https://www.thespruce.com/best-shower-kits-4155609,2021-12-27,1847.7142857142858
The 8 Best Gas Ranges of 2021,https://www.thespruce.com/best-gas-ranges-4150630,2021-12-27,1817.1944444444443
The Best Appliance Deals for January 2022,https://www.thespruce.com/best-appliance-deals-5115361,2021-12-27,1804.654761904762
The 4 Best Small Sleeper Sofas of 2021,https://www.thespruce.com/best-small-sleeper-sofas-1391563,2021-12-27,1794.0
The 6 Best Side-by-Side Refrigerators of 2021,https://www.thespruce.com/best-side-by-side-refrigerators-4177171,2021-12-27,1763.7333333333336
The 10 Best Bathtubs of 2022,https://www.thespruce.com/best-bathtubs-4178494,2021-12-27,1626.2037037037035
The 9 Best Slipcovered Sofas of 2022,https://www.thespruce.com/best-slipcovered-sofas-4169654,2021-12-27,1536.4285714285713
The 8 Best Composting Toilets of 2021,https://www.thespruce.com/best-composting-toilets-4693560,2021-12-27,1516.857142857143
The 6 Best Chest Freezers of 2021,https://www.thespruce.com/best-chest-freezers-4150012,2021-12-27,1495.4444444444443
The Best Furniture Deals for Holiday 2021 ,https://www.thespruce.com/best-furniture-deals-5116061,2021-12-27,1484.2619047619048
The 8 Best Reclining Loveseats of 2022,https://www.thespruce.com/best-reclining-loveseats-4149992,2021-12-27,1463.642857142857
The 5 Best All-in-One Washer Dryers of 2022,https://www.thespruce.com/best-all-in-one-washer-dryer-4157676,2021-12-27,1450.8666666666666
The 6 Best Single Bathroom Vanities of 2021,https://www.thespruce.com/best-single-vanities-4159752,2021-12-27,1443.4166666666667
"The 8 Best Stoves, Ranges, and Cooktops of 2021",https://www.thespruce.com/best-stoves-and-cooktops-4109568,2021-12-27,1425.3125
The 5 Best Pergola Kits of 2021,https://www.thespruce.com/best-pergolas-kits-4019404,2021-12-27,1383.0333333333333
The 10 Best Washer &amp; Dryer Sets of 2022,https://www.thespruce.com/best-washer-dryer-sets-4109183,2021-12-27,1357.55
The 8 Best Sofas for Small Spaces of 2021,https://www.thespruce.com/best-sofas-for-small-spaces-4160856,2021-12-27,1326.25
The 8 Best Wood Stoves of 2021,https://www.thespruce.com/best-wood-stoves-4172183,2021-12-27,1308.3333333333333
The 6 Best Gas Fireplace Inserts of 2021,https://www.thespruce.com/best-gas-fireplace-inserts-4169551,2021-12-27,1308.0666666666666
The 7 Best Smart Washers and Dryers of 2021,https://www.thespruce.com/best-smart-washers-and-dryers-4158885,2021-12-27,1267.595238095238
The 9 Best Gas Cooktops of 2021,https://www.thespruce.com/best-gas-cooktops-5095283,2021-12-27,1227.425925925926
The 7 Best Wine Refrigerators of 2021,https://www.thespruce.com/best-wine-refrigerators-to-buy-4120593,2021-12-27,1204.2380952380952
